집계일자,콘존ID,차로유형구분코드,교통량
20120601,0352CZS280,1,32146
20120601,0352CZS290,1,34150
20120601,0352CZS300,1,31386
20120601,0352CZS310,1,30542
20120601,0352CZS320,1,30498
20120601,0352CZS330,1,28112
20120601,0352CZS340,1,27251
20120601,0352CZS350,1,29529
20120601,0352CZS360,1,51519
20120601,0352CZS370,1,21545
20120601,0352CZS380,1,26077
20120601,0352CZS390,1,29054
20120601,0352CZS400,1,41054
20120601,0352CZS410,1,73136
20120601,0352CZS420,1,68752
20120601,0352CZS430,1,72981
20120601,0370CZE010,1,31824
20120601,0370CZE020,1,31685
20120601,0370CZE030,1,33421
20120601,0370CZE040,1,33143
20120601,0370CZE050,1,33456
20120601,0370CZS010,1,32760
20120601,0370CZS020,1,32191
20120601,0370CZS030,1,32217
20120601,0370CZS040,1,32336
20120601,0370CZS050,1,32859
20120601,0400CZE010,1,31427
20120601,0400CZE020,1,34523
20120601,0400CZE030,1,28149
20120601,0400CZE040,1,31428
20120601,0400CZE050,1,14073
20120601,0400CZE060,1,19909
20120601,0400CZE070,1,14479
20120601,0400CZE080,1,9186
20120601,0400CZS010,1,30908
20120601,0400CZS020,1,31191
20120601,0400CZS030,1,25054
20120601,0400CZS040,1,29460
20120601,0400CZS050,1,14981
20120601,0400CZS060,1,19916
20120601,0400CZS070,1,14015
20120601,0400CZS080,1,8996
20120601,0450CZE010,1,12189
20120601,0450CZE020,1,26664
20120601,0450CZE030,1,21428
20120601,0450CZE040,1,21195
20120601,0450CZE050,1,21099
20120601,0450CZE060,1,19656
20120601,0450CZE070,1,11433
20120601,0450CZE080,1,11647
20120601,0450CZE090,1,11262
20120601,0450CZE100,1,11032
20120601,0450CZE110,1,10007
20120601,0450CZE120,1,31780
20120601,0450CZE130,1,31731
20120601,0450CZE140,1,22497
20120601,0450CZE150,1,22823
20120601,0450CZE160,1,22007
20120601,0450CZE170,1,22748
20120601,0450CZE180,1,22390
20120601,0450CZE190,1,23151
20120601,0450CZE200,1,22826
20120601,0450CZE210,1,24706
20120601,0450CZE220,1,25321
20120601,0450CZE225,1,25329
20120601,0450CZE230,1,30106
20120601,0450CZE240,1,2156
20120601,0450CZE245,1,3057
20120601,0450CZE250,1,1435
20120601,0450CZE260,1,-1
20120601,0450CZS010,1,12304
20120601,0450CZS020,1,26097
20120601,0450CZS030,1,21797
20120601,0450CZS040,1,21658
20120601,0450CZS050,1,21901
20120601,0450CZS060,1,20404
20120601,0450CZS070,1,12104
20120601,0450CZS080,1,12553
20120601,0450CZS090,1,11628
20120601,0450CZS100,1,11639
20120601,0450CZS110,1,11540
20120601,0450CZS120,1,32220
20120601,0450CZS130,1,31881
20120601,0450CZS140,1,19309
20120601,0450CZS150,1,22015
20120601,0450CZS160,1,20953
20120601,0450CZS170,1,21828
20120601,0450CZS180,1,22253
20120601,0450CZS190,1,23225
20120601,0450CZS200,1,22882
20120601,0450CZS210,1,24723
20120601,0450CZS220,1,26264
20120601,0450CZS225,1,24982
20120601,0450CZS230,1,30740
20120601,0450CZS240,1,1674
20120601,0450CZS245,1,2589
20120601,0450CZS250,1,1258
20120601,0450CZS260,1,-1
20120601,0500CZE010,1,68772
20120601,0500CZE020,1,36980
20120601,0500CZE025,1,43824
20120601,0500CZE030,1,63919
20120601,0500CZE040,1,67315
20120601,0500CZE050,1,68527
20120601,0500CZE060,1,65713
20120601,0500CZE065,1,71400
20120601,0500CZE070,1,63134
20120601,0500CZE080,1,70444
20120601,0500CZE090,1,65239
20120601,0500CZE100,1,72841
20120601,0500CZE110,1,81460
20120601,0500CZE120,1,67210
20120601,0500CZE130,1,62526
20120601,0500CZE140,1,51871
20120601,0500CZE150,1,47612
20120601,0500CZE160,1,52948
20120601,0500CZE170,1,83303
20120601,0500CZE180,1,68844
20120601,0500CZE190,1,34259
20120601,0500CZE200,1,34469
20120601,0500CZE210,1,30369
20120601,0500CZE220,1,17136
20120601,0500CZE230,1,16870
20120601,0500CZE240,1,14928
20120601,0500CZE250,1,11746
20120601,0500CZE260,1,14948
20120601,0500CZE270,1,14651
20120601,0500CZE280,1,15155
20120601,0500CZE290,1,12358
20120601,0500CZE300,1,11040
20120601,0500CZS010,1,61384
20120601,0500CZS020,1,53182
20120601,0500CZS025,1,52668
20120601,0500CZS030,1,61905
20120601,0500CZS040,1,75091
20120601,0500CZS050,1,70526
20120601,0500CZS060,1,89603
20120601,0500CZS065,1,76638
20120601,0500CZS070,1,72084
20120601,0500CZS080,1,74776
20120601,0500CZS090,1,70391
20120601,0500CZS100,1,72056
20120601,0500CZS110,1,83333
20120601,0500CZS120,1,64822
20120601,0500CZS130,1,60840
20120601,0500CZS140,1,51196
20120601,0500CZS150,1,44731
20120601,0500CZS160,1,39932
20120601,0500CZS170,1,74945
20120601,0500CZS180,1,61176
20120601,0500CZS190,1,32534
20120601,0500CZS200,1,27842
20120601,0500CZS210,1,25089
20120601,0500CZS220,1,14525
20120601,0500CZS230,1,13501
20120601,0500CZS240,1,12929
20120601,0500CZS250,1,11401
20120601,0500CZS260,1,11577
20120601,0500CZS270,1,12673
20120601,0500CZS280,1,12902
20120601,0500CZS290,1,11612
20120601,0500CZS300,1,9594
20120601,0550CZE020,1,26723
20120601,0550CZE030,1,47861
20120601,0550CZE040,1,35167
20120601,0550CZE130,1,24804
20120601,0550CZE140,1,22495
20120601,0550CZE150,1,21687
20120601,0550CZE160,1,15510
20120601,0550CZE170,1,13677
20120601,0550CZE180,1,11377
20120601,0550CZE190,1,7819
